StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
85066,29.69,29.1,29.1,True,2.0,CREAM SWEETHEART MINI CHEST,AY
84997B,85.23,50.34,54.05,True,36.6,RED 3 PIECE MINI DOTS CUTLERY SET,AY
20726,49.23,77.53,77.53,False,-57.5,LUNCH BAG WOODLAND,AY
82486,18.08,17.6,19.4,False,-7.3,WOOD S/3 CABINET ANT WHITE FINISH,AX
22960,97.0,135.39,81.0,True,16.5,JAM MAKING SET WITH JARS,AY
22699,96.23,74.22,70.35,True,26.9,ROSES REGENCY TEACUP AND SAUCER,AY
21166,463.08,227.67,215.15,True,53.5,COOK WITH WINE METAL SIGN,AY
23284,246.0,228.16,236.74,True,3.8,DOORMAT KEEP CALM AND COME IN,AZ
22720,90.31,133.36,90.45,False,-0.2,SET OF 3 CAKE TINS PANTRY DESIGN,AZ
22629,160.38,114.85,90.22,True,43.7,SPACEBOY LUNCH BOX,AY
20712,88.0,104.07,104.07,False,-18.3,JUMBO BAG WOODLAND ANIMALS,AY
21485,110.15,100.76,116.36,False,-5.6,RETROSPOT HEART HOT WATER BOTTLE,AY
22727,144.62,217.88,154.45,False,-6.8,ALARM CLOCK BAKELIKE RED,AZ
22328,64.92,45.05,45.05,True,30.6,ROUND SNACK BOXES SET OF 4 FRUITS,AY
21524,49.46,30.55,25.57,True,48.3,DOORMAT SPOTTY HOME SWEET HOME,AY
84997C,85.38,52.74,52.74,True,38.2,BLUE 3 PIECE MINI DOTS CUTLERY SET,AY
20724,159.92,177.32,146.24,True,8.6,RED RETROSPOT CHARLOTTE BAG,AX
21755,23.54,30.99,14.54,True,38.2,LOVE BUILDING BLOCK WORD,AX
22379,90.46,94.77,94.77,False,-4.8,RECYCLING BAG RETROSPOT,AY
22382,107.15,101.59,95.48,True,10.9,LUNCH BAG SPACEBOY DESIGN,AX
22384,79.62,76.05,106.27,False,-33.5,LUNCH BAG PINK POLKADOT,AX
22666,161.15,175.87,154.29,True,4.3,RECIPE BOX PANTRY YELLOW DESIGN,AY
22630,82.85,81.49,86.7,False,-4.7,DOLLY GIRL LUNCH BOX,AY
15036,134.92,331.79,280.77,False,-108.1,ASSORTED COLOURS SILK FAN,AY
22726,86.77,171.57,89.23,False,-2.8,ALARM CLOCK BAKELIKE GREEN,AY
22385,96.15,94.96,94.96,True,1.2,JUMBO BAG SPACEBOY DESIGN,AY
22865,364.54,384.18,269.26,True,26.1,HAND WARMER OWL DESIGN,AZ
22077,104.77,121.92,98.03,True,6.4,6 RIBBONS RUSTIC CHARM,AX
85152,257.62,163.65,163.65,True,36.5,HAND OVER THE CHOCOLATE   SIGN,AY
85014B,34.0,29.62,33.22,True,2.3,RED RETROSPOT UMBRELLA,AZ
48184,48.08,51.43,51.43,False,-7.0,DOORMAT ENGLISH ROSE,AY
23245,81.77,165.83,65.54,True,19.8,SET OF 3 REGENCY CAKE TINS,AZ
21479,111.15,93.58,110.27,True,0.8,WHITE SKULL HOT WATER BOTTLE,AZ
22697,60.69,74.99,59.87,True,1.4,GREEN REGENCY TEACUP AND SAUCER,AY
23199,170.69,245.7,208.96,False,-22.4,JUMBO BAG APPLES,AZ
22501,4.85,22.76,5.39,False,-11.1,PICNIC BASKET WICKER LARGE,AZ
20679,28.85,26.43,23.21,True,19.5,EDWARDIAN PARASOL RED,AZ
21217,16.31,16.21,9.91,True,39.2,RED SPOTTY ROUND CAKE TINS,AY
84029G,62.46,64.11,66.22,False,-6.0,KNITTED UNION FLAG HOT WATER BOTTLE,AZ
22659,114.92,107.56,121.58,False,-5.8,LUNCH BOX I LOVE LONDON,AY
47590B,13.69,27.72,24.98,False,-82.4,PINK HAPPY BIRTHDAY BUNTING,AY
22622,24.54,20.57,24.39,True,0.6,BOX OF VINTAGE ALPHABET BLOCKS,AZ
22158,104.15,112.91,119.45,False,-14.7,3 HEARTS HANGING DECORATION RUSTIC,AZ
82483,32.69,25.18,25.19,True,22.9,WOOD 2 DRAWER CABINET WHITE FINISH,AX
48188,21.69,42.41,42.41,False,-95.5,DOORMAT WELCOME PUPPIES,AZ
20971,440.69,435.97,439.33,True,0.3,PINK BLUE FELT CRAFT TRINKET BOX,AZ
84978,109.62,96.95,97.24,True,11.3,HANGING HEART JAR T-LIGHT HOLDER,AX
22866,192.23,307.33,193.4,False,-0.6,HAND WARMER SCOTTY DOG DESIGN,AZ
22467,94.15,111.81,105.62,False,-12.2,GUMBALL COAT RACK,AY
22752,42.38,33.86,39.81,True,6.1,SET 7 BABUSHKA NESTING BOXES,AZ
21977,371.38,296.91,296.91,True,20.1,PACK OF 60 PINK PAISLEY CAKE CASES,AX
22188,59.31,97.87,97.87,False,-65.0,BLACK HEART CARD HOLDER,AZ
82583,256.77,159.83,159.83,True,37.8,HOT BATHS METAL SIGN,AY
23201,208.77,331.34,192.2,True,7.9,JUMBO BAG ALPHABET,AZ
22492,465.08,364.19,351.9,True,24.3,MINI PAINT SET VINTAGE,AY
20719,108.92,74.01,70.8,True,35.0,WOODLAND CHARLOTTE BAG,AX
