StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
22470,SimpleExponentialSmoothing,0.1731,3.22,3604012.9,986.5,93,2009-11-30,2011-09-05,True,204.3846153846154,164.9776674937965,184.2521229428632,True,HEART OF WICKER LARGE,A,Y,AY
22139,SimpleExponentialSmoothing,0.4439,231.73,538553.2,809.8,93,2009-11-30,2011-09-05,True,79.53846153846153,62.74193548387096,81.19866419379773,False,RETROSPOT TEA SET CERAMIC 11 PC,A,Y,AY
22178,SimpleExponentialSmoothing,0.2812,194.33,6024542.3,1034.3,93,2009-11-30,2011-09-05,True,324.15384615384613,271.50124069478903,271.0211011177626,True,VICTORIAN GLASS HANGING T-LIGHT,A,Y,AY
20914,SimpleExponentialSmoothing,0.0952,217.76,1567334.3,909.1,93,2009-11-30,2011-09-05,True,63.84615384615385,67.69478908188586,48.791733929175024,True,SET/5 RED RETROSPOT LID GLASS BOWLS,A,X,AX
21212,SimpleExponentialSmoothing,0.0832,1044.85,22059744.1,1155.0,93,2009-11-30,2011-09-05,True,272.3076923076923,395.4127377998345,256.8480440980417,True,PACK OF 72 RETROSPOT CAKE CASES,A,X,AX
21733,SimpleExponentialSmoothing,0.1987,257.5,2617620.9,956.8,93,2009-11-30,2011-09-05,True,182.23076923076923,107.32671629445824,149.07973061388267,True,RED HANGING HEART T-LIGHT HOLDER,A,Y,AY
22090,SimpleExponentialSmoothing,0.2272,88.89,1380913.9,897.3,93,2009-11-30,2011-09-05,True,29.153846153846157,96.10090984284534,58.96088723671218,False,PAPER BUNTING RETROSPOT,A,Y,AY
21181,SimpleExponentialSmoothing,0.3646,263.73,5024167.1,1017.4,93,2009-11-30,2011-09-05,True,1028.6153846153843,252.63771712158808,283.52841920269475,True,PLEASE ONE PERSON METAL SIGN,A,Y,AY
22111,SimpleExponentialSmoothing,0.7772,388.78,608486.7,821.1,93,2009-11-30,2011-09-05,True,109.46153846153848,138.59801488833745,116.72294198043733,False,SCOTTIE DOG HOT WATER BOTTLE,A,Y,AY
21929,SimpleExponentialSmoothing,0.2356,207.91,3378082.6,980.5,93,2009-11-30,2011-09-05,True,107.92307692307692,161.83374689826303,135.46449773350486,False,JUMBO BAG PINK VINTAGE PAISLEY,A,Y,AY
21232,SimpleExponentialSmoothing,0.2898,788.81,4584696.1,1008.9,93,2009-11-30,2011-09-05,True,129.30769230769232,173.39205955334987,135.55193991617824,False,STRAWBERRY CERAMIC TRINKET BOX,A,X,AX
84946,SimpleExponentialSmoothing,0.4592,643.48,4561433.5,1008.5,93,2009-11-30,2011-09-05,True,281.3076923076923,245.15880893300252,281.6120329582957,False,ANTIQUE SILVER TEA GLASS ETCHED,A,X,AX
22189,SimpleExponentialSmoothing,0.0,157.24,6776380.9,1045.3,93,2009-11-30,2011-09-05,True,93.6923076923077,118.9735318444996,118.97345639725826,False,CREAM HEART CARD HOLDER,A,Z,AZ
15056BL,SimpleExponentialSmoothing,0.3472,644.24,2201311.7,940.7,93,2009-11-30,2011-09-05,True,69.15384615384616,48.995864350703066,40.34456234975282,True,EDWARDIAN PARASOL BLACK,A,Z,AZ
22469,SimpleExponentialSmoothing,0.1752,5.16,6955595.2,1047.7,93,2009-11-30,2011-09-05,True,237.07692307692307,235.63771712158808,260.3829043206988,False,HEART OF WICKER SMALL,A,Y,AY
48194,SimpleExponentialSmoothing,0.0,72.42,848876.7,852.1,93,2009-11-30,2011-09-05,True,60.0,77.07196029776675,77.07196873631126,False,DOORMAT HEARTS,A,Y,AY
21731,SimpleExponentialSmoothing,0.0,264.51,5376203.3,1023.7,93,2009-11-30,2011-09-05,True,138.69230769230768,140.19106699751862,140.1911024281513,False,RED TOADSTOOL LED NIGHT LIGHT,A,Y,AY
22457,SimpleExponentialSmoothing,0.4499,0.0,945907.4,862.1,93,2009-11-30,2011-09-05,True,82.23076923076923,94.10173697270471,86.11417897199838,False,NATURAL SLATE HEART CHALKBOARD,A,Y,AY
82494L,SimpleExponentialSmoothing,0.1953,165.66,743982.6,839.8,93,2009-11-30,2011-09-05,True,60.53846153846154,63.99255583126551,63.74020648779894,False,WOODEN FRAME ANTIQUE WHITE,A,X,AX
21754,SimpleExponentialSmoothing,0.2742,102.86,111031.1,662.9,93,2009-11-30,2011-09-05,True,31.0,33.20430107526881,12.50723030048462,True,HOME BUILDING BLOCK WORD,A,X,AX
48187,SimpleExponentialSmoothing,0.0,66.89,783392.9,844.6,93,2009-11-30,2011-09-05,True,63.84615384615385,74.57402812241521,74.57405680093166,False,DOORMAT NEW ENGLAND,A,Y,AY
21928,SimpleExponentialSmoothing,0.0,235.31,2723540.0,960.5,93,2009-11-30,2011-09-05,True,77.92307692307692,78.52357320099253,78.52357576015925,False,JUMBO BAG SCANDINAVIAN PAISLEY,A,X,AX
21523,SimpleExponentialSmoothing,0.0,66.03,768266.9,842.8,93,2009-11-30,2011-09-05,True,58.84615384615385,43.78660049627791,43.78654557242172,True,DOORMAT FANCY FONT HOME SWEET HOME,A,Y,AY
22138,SimpleExponentialSmoothing,0.0896,100.69,304132.2,756.6,93,2009-11-30,2011-09-05,True,144.53846153846155,142.49545078577336,157.67890991707716,False,BAKING SET 9 PIECE RETROSPOT,A,Y,AY
20727,SimpleExponentialSmoothing,0.0,250.18,7774640.0,1058.0,93,2009-11-30,2011-09-05,True,83.53846153846153,88.03473945409428,88.03485541991978,False,LUNCH BAG  BLACK SKULL.,A,Y,AY
48185,SimpleExponentialSmoothing,0.0,64.45,1305431.1,892.1,93,2009-11-30,2011-09-05,True,52.07692307692308,73.07444168734493,73.07451837764937,False,DOORMAT FAIRY CAKE,A,Z,AZ
21623,SimpleExponentialSmoothing,0.0,62.85,2587621.9,955.7,93,2009-11-30,2011-09-05,True,22.23076923076923,43.20347394540944,43.20347010695563,False,VINTAGE UNION JACK MEMOBOARD,A,Z,AZ
